Country Name	Country Code	Indicator Name	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW			44			43.4						48.3							48.6			51.7				
Andorra	AND	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)														45.6	45.7	45.8	46.1	46.6	46.8	47.3					
Afghanistan	AFG	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)													19.2	17.8	18.5	25.9	18	17.6	18.4						
Angola	AGO	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)							23.5																		
Albania	ALB	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)										29.2	28.9	26.9	31.6	33						36.1		39.2	37.1		
Arab World	ARB	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																	16.60712497	17.50170709	17.43500281						
United Arab Emirates	ARE	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																			20.1						
Argentina	ARG	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	37.1	36.6	37.8	38.9	38.1	39.9	39.6	39.6	40.9	42.1	42.6	43.3	45.9	45.5	44.8	45.1	45		44.1	44.6	43.9	43.8	44		
Armenia	ARM	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)													45	45	43.4	41.2	41.5	41.4	40.4	43.1	40.9	44.9	45.7		
American Samoa	ASM	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	41.7																								
Antigua and Barbuda	ATG	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)												50.6	50.6	50.6	50.6	50.6	50.6	50.6	50.6						
Australia	AUS	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	43.7	44.5	44.3	44.7	44.7	45.2	45.2	45.3	45.5	45.8	46.3	46.9	46.7	47	46.7	47	47.1	47	47.1	47.5	47.2	47.2	47.2		
Austria	AUT	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	41.5	41.7	42.4	42.7	42.8	42.6	42.7	43	43.2	43.5	43.7	44.2	44.9	45.5	46.2	46.6	46.6	46.3	47	47.8	47.8	47.6	47.9		
Azerbaijan	AZE	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)								47.5	47.5	47.5	47.6	47	46.6	46.2	44.9	46.5	46.1	44.6	43.6	44	43.9	44.4	42.7		
Burundi	BDI	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	14.3																								
