country,regionName,nonDiscriminationClauseInConstitution,constitutionGuaranteeEqualityBfTheLaw,unmarriedWomanApplyPassportSameAsMan,marriedWomanApplyPassportSameAsMan,unmarriedWomanApplyNationalIDSameAsMan,marriedWomanApplyNationalIDSameAsMan,unmarriedWomanTravelOutsideCountrySameAsMan,marriedWomanTravelOutsideCountrySameAsMan,unmarriedWomanTravelOutsideHomeSameAsMan,marriedWomanTravelOutsideHomeSameAsMan,unmarriedWomanGetJobSameAsMan,marriedWomanGetJobSameAsMan,unmarriedWomanSignContractSameAsMan,marriedWomanSignContractSameAsMan,unmarriedWomanRegisterBusinessSameAsMan,marriedWomanRegisterBusinessSameAsMan,unmarriedWomanOpenBankAccountSameAsMan,marriedWomanOpenBankAccountSameAsMan,unmarriedWomanChooseWhereLiveSameAsMan,marriedWomanChooseWhereLiveSameAsMan,unmarriedWomanConferCitizenshipToChildrenSameAsMan,marriedWomanConferCitizenshipToChildrenSameAsMan,unmarriedWomanHeadOfFamilySameAsMan,marriedWomanHeadOfFamilySameAsMan,marriedWomanConveyCitizenshipToNonNationalSpouseSameAsMan,marriedCouplesShareLegalResponsibilityForFamilyFinances,femaleEstGNIperCapita_2013,maleEstGNIperCapita_2013,gapGNI
Algeria,Middle East & North Africa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,"3,695","21,219","17,524"
Angola,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"5,080","7,587","2,507"
Benin,Sub-Saharan Africa,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,"1,455","1,999",544
Botswana,Sub-Saharan Africa,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,"11,491","18,054","6,563"
Burkina Faso,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,N/A,N/A,Yes,Yes,"1,335","1,871",536
Burundi,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,685,815,130
Cameroon,Sub-Saharan Africa,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,"2,062","3,052",990
Chad,Sub-Saharan Africa,Yes,Yes,Yes,Yes,..,..,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,"1,289","1,953",664
Congo,Sub-Saharan Africa,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,"4,222","5,597","1,375"
Cote d'Ivoire,Sub-Saharan Africa,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,"1,866","3,648","1,782"
DRC,Sub-Saharan Africa,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,390,499,109
Egypt,Middle East & North Africa,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,No,No,"4,225","16,522","12,297"
Ethiopia,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,"1,090","1,515",425
Gabon,Sub-Saharan Africa,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,"14,003","19,919","5,916"
Ghana,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"2,937","4,138","1,201"
Guinea,Sub-Saharan Africa,No,Yes,Yes,Yes,..,..,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,913,"1,370",457
Kenya,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,"1,763","2,554",791
Lesotho,Sub-Saharan Africa,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,No,Yes,"2,217","3,395","1,178"
