area,HDI ranks,Country,hdrF2013,hdrM2013,lifeF2013,lifeM2013,meanSchoolF2002-2012,meanSchoolM2000-2012,expSchoolF2000-2012,expSchoolM2000-2012,gniF2013,gniM2013,hdrGap,lifeGap,meanSchoolGap,expSchoolGap,gniGap
central,186,DRC,0.304,0.369,51.8,48.2,2.1,4.1,8.4,10.9,390,499,0.0658560007508709,3.53800000000000,2.023115888,2.5,109
east,174,Malawi,0.389,0.437,55.4,55.1,3.4,5.1,10.8,10.7,652,777,0.0477890292298764,0.27000000000000,1.711247265,-0.1,125
east,180,Burundi,0.370,0.410,56.1,52.2,2.2,3.3,9.6,10.7,685,815,0.0393373531766702,3.83800000000000,1.11432232,1.1,130
east,178,Mozambique,0.343,0.391,51.0,49.3,0.8,1.7,8.9,10.1,939,"1,086",0.0474385202906867,1.69200000000000,0.967612688,1.2,147
west,175,Liberia,0.379,0.482,61.5,59.6,2.3,5.6,8.9,12.4,634,868,0.1029376681432220,1.93700000000000,3.22460396,3.5,234
west,166,Togo,0.401,0.499,57.4,55.6,3.3,6.7,8.5,11.9,998,"1,263",0.0981276593056243,1.76200000000000,3.395519429,3.4,265
east,151,Rwanda,0.463,0.487,65.7,62.4,3.1,3.6,10.3,10.2,"1,263","1,550",0.0244468406814056,3.36400000000000,0.55484375,-0.1,288
east,182,Eritrea,..,..,65.2,60.5,..,..,3.7,4.6,986,"1,309",..,4.70400000000000,..,0.9,323
east,164,Uganda,0.456,0.509,60.4,58.0,4.3,6.4,10.6,10.9,"1,167","1,502",0.0531714480680665,2.37800000000000,2.127799188,0.3,335
west,177,Guinea-Bissau,..,..,55.8,52.8,1.4,3.4,..,..,907,"1,275",..,3.05800000000000,2.068764,..,368
east,156,Zimbabwe,0.468,0.515,60.8,58.8,6.7,7.8,9.1,9.5,"1,124","1,496",0.0468168877631897,1.92800000000000,1.123639318,0.4,372
west,183,Sierra Leone,0.329,0.412,45.8,45.3,2.0,3.8,6.1,8.4,"1,617","2,016",0.0826777264134116,0.41400000000000,1.753030303,2.3,399
east,159,Tanzania (United Republic of),0.466,0.509,62.9,60.2,4.5,5.8,9.0,9.3,"1,501","1,903",0.0427494598874185,2.73500000000000,1.337228571,0.3,402
east,173,Ethiopia,0.401,0.470,65.3,62.0,1.4,3.6,8.0,9.0,"1,090","1,515",0.0692041344447014,3.37500000000001,2.132791042,1.0,426
west,179,Guinea,0.344,0.439,56.9,55.3,0.8,2.6,7.4,10.1,913,"1,370",0.0944960002521162,1.54500000000000,1.8326177,2.7,457
east,155,Madagascar,0.476,0.519,66.2,63.2,4.8,5.6,10.2,10.5,"1,102","1,566",0.0432726134733481,3.00200000000000,0.853030201,0.3,464
west,172,Gambia,..,..,60.2,57.5,2.0,3.6,..,..,"1,309","1,811",..,2.63700000000000,1.6,..,502
