http://data.worldbank.org/indicator/SI.POV.DDAY															
World Gank Indicators															
Poverty headcount ratio at $1.25 a day (PPP) (% of population)															
Data Source															
Last Updated Date															
															
Country Name	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba															
Andorra															
Afghanistan															
Angola	54.31								43.37						
Albania			0.73		0.53	0.44			0.2				0.46		
Arab World															
United Arab Emirates															
Argentina	5.06	8.25	12.58	9	6.29	4.62	3.76	3.01	2.74	2.68	1.73	1.41			
Armenia		18.83	14.5	10.68	7.6	4.22	3.17	3.37	1.41	1.56	2.5	2.45	1.75		
American Samoa															
Antigua and Barbuda															
Australia															
Austria															
Azerbaijan		6.27	0.02	0.04	0	0			0.31						
Burundi							81.32								
Belgium															
Benin				47.33								51.61			
Burkina Faso				48.9						44.46					
Bangladesh	58.59					50.47					43.25				
Bulgaria		2.12		0.62				0.26	0.73		1.64	1.9			
Bahrain															
"Bahamas, The"															
Bosnia and Herzegovina		0.28			0.1			0.04							
Belarus	0.26	0.12	0.47	0.5	0.06	0.06	0.05	0	0	0.01	0	0			
Belize															
Bermuda															
Bolivia	26.87	21.33	21.98		11.69	18.31	15.86	12.19	10.48	10.67		6.97	7.98		
Brazil		10.2	8.87	9.62	8.14	7.18	5.93	5.84	4.87	4.72		4.53	3.75		
Barbados															
Brunei Darussalam															
Bhutan				23.96				10.22					2.38		
Botswana				24.36						13.41					
Central African Republic				62.43					62.83						
Canada															
Central Europe and the Baltics															
Switzerland															
Channel Islands															
Chile	2.16			1.73			1.07			1.28		0.83			
China			28.06			15.77			12.34		9.19	6.26			
Cote d'Ivoire			29.66						35.04						
Cameroon		24.86						27.61							
"Congo, Rep."						54.1						32.82			
Colombia	17.85	17.86	11.14	10.34	9.01	7.87	11.04	8.84	8.5	7.26	6.17	4.95	5.63		
Comoros					46.11										
Cabo Verde			21.02					13.72							
Costa Rica	5.56	5.51	5.5	5.4	4.85	3.57	3.72	2.06	2.28	2.86	1.27	1.36	1.35		
Caribbean small states															
Cuba															
Curacao															
Cayman Islands															
Cyprus															
Czech Republic						0	0.07		0.04	0.03	0.04	0.03			
Germany															
Djibouti			18.83												
Dominica															
Denmark															
Dominican Republic	5.24	3.68	5.27	6.43	7.83	5.38	4.23	3.72	3.35	2.99	2.24	2.54	2.25		
Algeria															
East Asia & Pacific (developing only)			27.34			16.7			13.72		10.29	7.93			
East Asia & Pacific (all income levels)															
Europe & Central Asia (developing only)			2.13			1.26			0.49		0.64	0.49			
Europe & Central Asia (all income levels)															
Ecuador	20.32			12	10.45	9.16	6.12	6.94	6.26	6.03	4.58	4.04	3.95		
"Egypt, Arab Rep."	1.81				2.26				1.68						
Euro area															
Eritrea															
Spain															
Estonia	0.6	0.57	0.57	0.37		0.72	0.73	0.47	0.45	0.59	0.81	0.98			
Ethiopia						38.96					36.79				
European Union															
Fragile and conflict affected situations			47.68			45.43			43.52		43.07	42.72			
Finland															
Fiji			29.16						5.88						
France															
Faeroe Islands															
"Micronesia, Fed. Sts."	31.15														
Gabon						6.09									
United Kingdom															
Georgia	17.75	17.42	14.19	15.62	15.11	14.86	13.87	14.75	14.05	13.99	18.04	16.05	14.14		
Ghana						28.59									
Guinea				56.32				39.33					40.87		
"Gambia, The"				33.63											
Guinea-Bissau			48.9												
Equatorial Guinea															
Greece															
Grenada															
Greenland															
Guatemala	11.79		19.91	17.97	16.47		13.45					13.7			
Guam															
Guyana															
High income															
"Hong Kong SAR, China"															
Honduras		16.96	27.48	25.59	24.59	25.85	22.4	15.8	14.61	12.4	13.41	16.48			
Heavily indebted poor countries (HIPC)															
Croatia	0.07	0.06			0				0						
Haiti		61.71													
Hungary	0	0	0	0		0	0.13		0.03		0.05	0.05			
Indonesia			29.39			21.55			22.71		18.04	16.2			
Isle of Man															
India					41.64					32.68		23.62946379			
Not classified															
Ireland															
"Iran, Islamic Rep."						1.45									
Iraq								3.37					3.91		
Iceland															
Israel															
Italy															
Jamaica		37.33	0.31		0.24										
Jordan			1.16				0.25		0.07		0.08				
Japan															
Kazakhstan		6.12	3.76	2.41	1.45	0.02	0.41	0.16	0.01		0.06				
Kenya						43.37									
Kyrgyz Republic	36.81	32.58	29.74	24.71	10.99	19.91	13.38	1.9	5.5	5.63	6.02	5.11			
Cambodia					32.77			30.82	20.89	12.93	11.25	10.05			
Kiribati															
St. Kitts and Nevis															
"Korea, Rep."															
Kosovo															
Kuwait															
Latin America & Caribbean (developing only)			10.22			7.34			5.37		4.76	4.63			
Lao PDR			41.22					35.1					30.26		
Lebanon															
Liberia								83.76							
Libya															
St. Lucia															
Latin America & Caribbean (all income levels)															
Least developed countries: UN classification															
Low income			61.14			55.84			51.49		48.6	46.83			
Liechtenstein															
Sri Lanka			13.95				7.04			4.11					
Lower middle income			37.31			32.72			29.05		25.15	22.05			
Low & middle income			30.61			24.81			21.85		19.15	16.98			
Lesotho			55.16								56.22				
Lithuania	0.06	0.3	0.16	0.07	0.06	1.71	1.4		0.05		1.48	0.83			
Luxembourg															
Latvia			0.41		0.11		1.19		0		1.38	1.07			
"Macao SAR, China"															
St. Martin (French part)															
Morocco		6.27						2.57							
Monaco															
Moldova		25.01	14.96	6.25	6.67	12.49	2.17	1.01	1.07	0.78	0.42	0.23			
Madagascar		76.34				82.43					87.67				
Maldives					1.48										
Middle East & North Africa (all income levels)															
Mexico	5.53		3.9		1.6	4.93	0.68		1.15		0.72		1.03		
Marshall Islands															
Middle income			28.5			22.22			19.02		16.11	13.71			
"Macedonia, FYR"	4.17		0.53	0.45	0.52	0.28	0.92		0.28						
Mali		61.18					51.43				50.61				
Malta															
Myanmar															
Middle East & North Africa (developing only)			3.83			2.99			2.05		1.69	1.69			
Montenegro						0.25	0.14	0.37	0.09	0	0	0.21			
Mongolia															
Northern Mariana Islands															
Mozambique			74.69							60.71					
Mauritania	21.16				25.41				23.43						
Mauritius							0.21						0.43		
Malawi					74.95						72.16				
Malaysia					0.54			0		0					
North America															
Namibia					31.91					23.54					
New Caledonia															
Niger						51.25		42.06				40.81			
Nigeria					61.84						62.03				
Nicaragua		14.37				2.84				8.54					
Netherlands															
High income: nonOECD															
Norway															
Nepal				53.13							23.74				
New Zealand															
High income: OECD															
OECD members															
Oman															
Other small states															
Pakistan		35.87			22.59	22.58		17.15			12.74				
Panama	13.82		11.07	10.67	9.92	9.49	10.18	7.2	4.73	2.99	3.82	3.55	3.99		
Peru	12.51	13.39	11.56	8.95	6.75	7.83	6.43	6.31	4.84	3.5	2.73	2.97	2.89		
Philippines	24.59			22.88			22.58			18.1			18.96		
Palau															
Papua New Guinea															
Poland	0.05	0.05	0.02		0.05	0.08	0.01	0.02	0.01	0	0	0			
Puerto Rico															
"Korea, Dem. Rep."															
Portugal															
Paraguay		8.09	12.52	7.81	5.58	6.1	8.7	7.46	4.32	5.7	5.32	4.43	3.03		
Pacific island small states															
French Polynesia															
Qatar															
Romania		2.46	2.63	1.57	0	0	0	0	0	0	0	0	0		
Russian Federation		0.89	0.51	0.38	0.7	0.22	0.17	0.09	0	0.03					
Rwanda	79.37						71.97					63.02			
South Asia			44.1			39.28			34.05		28.96	24.5			
Saudi Arabia															
Sudan										19.8					
Senegal		44.13				33.5						34.06			
Singapore															
Solomon Islands															
Sierra Leone				59.44								56.63			
El Salvador	13.67	14.4	14.68	13.4	8.02	7.11	4.27	2.85	4.82	4.24	5.17	2.82	2.53		
San Marino															
Somalia															
Serbia			0.26	0.31	0.41	0.59	0.25	0.12	0.04	0.07	0.05				
Sub-Saharan Africa (developing only)			57.11			52.75			49.66		48.19	46.81			
South Sudan															
Sub-Saharan Africa (all income levels)															
Small states															
Sao Tome and Principe	28.18										43.53				
Suriname															
Slovak Republic					0.17	0.05	0		0	0	0.4	0.3			
Slovenia															
Sweden															
Swaziland	43.02									39.3					
Sint Maarten (Dutch part)															
Seychelles							0.25								
Syrian Arab Republic					1.71										
Turks and Caicos Islands															
Chad			61.94									36.52			
Togo							53.15					52.46			
Thailand	3.03		1.64				1.01		0.32		0.31				
Tajikistan				35.42	20.7			12.18		6.47					
Turkmenistan															
Timor-Leste								34.87							
Tonga															
Trinidad and Tobago															
Tunisia	2.55					1.38					0.74				
Turkey			1.15	2.87	1.41	1.45	1.35	0.95	0.1	0.36	0.59	0.08			
Tuvalu															
"Taiwan, China"															
Tanzania	84.23							67.87					43.48		
Uganda			56.57			51.72				37.91			37.78		
Ukraine			0.42	0.11	0.04	0.05	0.14	0.06	0	0.06	0				
Upper middle income			20.01			11.88			8.83		6.78	5.04			
Uruguay	0.48	0.61	0.79	0.95	1.19	1.31	0.73	0.48	0.26	0.27	0.2	0.25	0.31		
United States															
Uzbekistan															
St. Vincent and the Grenadines															
"Venezuela, RB"		9.57	15.85	19.06	15.88	13.17	6.63								
Virgin Islands (U.S.)															
Vietnam			40.07		31.4		21.44		16.82		3.93		2.44		
Vanuatu															
West Bank and Gaza					0.23			0.92		0.08					
World			26.1			21.1			18.6		16.3	14.5			
Samoa															
"Yemen, Rep."						9.78									
South Africa	26.2						16.72			13.67		9.42			
"Congo, Dem. Rep."						87.72									
Zambia				64.6	64.29		68.51				74.32				
Zimbabwe															
