Region	Country	MeanYearsSchoolFemale2002-2012	MeanYrsSchoolMale2000-2012	ExpectYrsSchoolFemale2000-2012	ExpectYrsSchoolMale2000-2012
central	Angola	..	..	8.7	14
central	Cameroon	5.1	6.7	9.5	11.2
central	Chad	0.6	2.3	5.9	8.9
central	Congo	5.5	6.7	10.9	11.3
central	DRC	2.1	4.1	8.4	10.9
central	Equatorial Guinea	..	..	6.9	10
central	Gabon	8.4	6.4	..	..
central	Sao Tome and Principe	4	5.5	11.4	11.2
east	Burundi	2.2	3.3	9.6	10.7
east	Comoros	..	..	12.3	13.2
east	Djibouti	..	..	5.9	6.9
east	Eritrea	..	..	3.7	4.6
east	Ethiopia	1.4	3.6	8	9
east	Kenya	5.4	7.1	10.7	11.3
east	Madagascar	4.8	5.6	10.2	10.5
east	Malawi	3.4	5.1	10.8	10.7
east	Mauritius	8	9.1	15.9	15.2
east	Mozambique	0.8	1.7	8.9	10.1
east	Rwanda	3.1	3.6	10.3	10.2
east	Seychelles	9.4	9.4	12.1	11.1
east	Somalia	..	..	..	..
east	South Sudan	..	..	..	..
east	Sudan	2.5	3.8	..	..
east	Tanzania	4.5	5.8	9	9.3
east	Uganda	4.3	6.4	10.6	10.9
east	Zambia	5.8	7.2	13	13.9
east	Zimbabwe	6.7	7.8	9.1	9.5
northern	Algeria	5.9	7.8	14.2	13.8
northern	Egypt	5.3	7.5	12.7	13.3
northern	Libya	7.5	7.5	16.4	15.9
northern	Morocco	3.2	5.6	10.6	11.6
northern	Tunisia	5.5	7.5	15	14
southern	Botswana	8.7	9	11.7	11.6
southern	Lesotho	6.8	4.6	11.6	10.6
southern	Namibia	6.3	6.1	11.4	11.3
southern	South Africa	9.8	10.1	..	..
southern	Swaziland	7.4	6.8	10.9	11.8
west	Benin	2	4.4	9.4	12.7
west	Burkina Faso	1.9	1.1	7	8
west	Cape Verde	..	..	13.6	12.9
west	Côte d'Ivoire	3.1	5.4	..	..
west	Gambia	2	3.6	..	..
west	Ghana	5.9	8.1	10.9	12.1
west	Guinea	0.8	2.6	7.4	10.1
west	Guinea-Bissau	1.4	3.4	..	..
west	Liberia	2.3	5.6	8.9	12.4
west	Mali	1.4	2.6	7.6	9.6
west	Mauritania	2.6	4.9	8.1	8.3
west	Niger	0.8	2.1	4.8	6.1
west	Nigeria	4.2	6.3	8.2	9.8
west	Senegal	3.4	5.6	7.8	8.1
west	Sierra Leone	2	3.8	6.1	8.4
west	Togo	3.3	6.7	8.5	11.9
