Somalia	2006	97.9	64.5	32.8	2.6	..	..	..	29.0	51.9	53.0	56.2	64.4	75.7	..	..	..	..	..	..
Guinea	2012	96.9	75.6	21.2	3.2	57.8	38.0	4.3	46.2	77.6	82.7	81.0	69.7	92.1	22.8	44.8	45.3	51.6	28.9	66.2
Mali	2012-13	91.4	71.9	18.3	9.8	78.9	11.9	9.1	26.3	58.4	55.0	48.7	58.9	76.3	16.2	30.8	31.3	35.1	32.1	53.6
Egypt	2008	91.1	54.0	34.5	11.5	56.7	26.6	16.7	7.9	14.8	31.5	29.4	21.7	39.3	..	..	..	..	..	..
Eritrea	2002	88.7	48.8	48.7	2.6	..	..	..	29.1	44.6	51.7	51.0	47.9	70.7	..	..	..	..	..	..
Sudan	2010	88.0	..	..	..	..	..	..	40.8	51.8	54.2	61.7	47.1	78.5	..	..	..	..	..	..
Gambia	2010	76.3	64.2	28.2	7.6	..	..	..	13.6	33.3	53.0	52.4	59.6	74.5	..	..	..	..	..	..
Burkina Faso	2010	75.8	9.3	89.9	0.9	10.2	86.9	2.9	9.8	30.8	30.3	30.4	19.7	43.5	7.5	20.0	17.7	20.1	10.9	34.1
Ethiopia	2005	74.3	31.4	..	..	..	..	..	61.0	58.7	64.2	64.6	44.3	81.0	24.1	30.5	36.2	31.0	23.3	51.5
Mauritania	2011	69.4	40.7	52.8	6.5	..	..	..	17.2	23.1	26.0	26.8	28.9	37.9	..	..	..	..	..	..
Guinea -Bissau	2010	49.8	33.5	56.4	10.2	..	..	..	..	..	..	..	12.8	40.2	..	..	..	..	..	..
Liberia	2013	49.8	..	39.3	..	..	..	..	7.4	33.1	28.5	32.2	10.7	42.5	2.6	18.1	14.0	14.6	4.1	24.2
Chad	2010	44.2	37.7	36.2	26.1	..	..	..	42.2	40.8	48.1	49.0	39.9	62.3	..	..	..	..	..	..
Côte d'Ivoire	2011-12	38.2	13.8	81.5	4.6	13.9	82.1	4.1	16.4	34.3	26.6	32.7	21.5	47.9	12.6	25.7	22.0	28.8	11.7	42.0
Kenya	2008-09	27.1	9.4	82.3	8.3	..	..	..	13.4	30.9	30.7	41.7	22.7	52.6	7.6	23.6	24.3	31.0	13.8	44.0
Nigeria	2013	24.8	23.1	64.3	12.6	27.4	62.1	10.5	14.2	21.3	25.3	24.6	18.8	34.7	7.8	13.1	13.3	13.9	11.1	24.7
Central African Republic	2010	24.2	11.3	75.2	13.5	..	..	..	44.9	51.9	51.4	62.6	39.3	84.8	34.9	48.9	46.5	56.2	29.8	80.3
United Republic of Tanzania	2010	14.6	5.5	91.9	2.6	..	..	..	17.8	38.7	36.8	39.8	30.0	53.5	6.2	21.7	23.5	26.2	14.0	38.1
Benin	2011-12	7.3	2.1	92.2	5.7	3.1	88.8	8.2	6.0	10.6	7.7	8.8	6.5	16.2	3.9	8.1	7.1	6.0	4.6	14.8
Ghana	2011	3.8	1.5	94.2	4.4	..	..	..	10.7	25.0	24.1	31.4	16.8	59.8	4.5	11.9	11.7	15.0	9.8	35.9
Uganda	2011	1.4	8.7	82.6	8.7	..	..	..	17.1	28.5	37.7	45.0	21.9	58.3	9.2	22.1	26.1	30.9	11.5	43.7
Cameroon	2004	1.4	6.6	84.1	9.3	7.3	84.6	8.0	19.2	26.6	33.6	45	20.3	55.6	..	..	..	..	..	..
