region	HDI	Country	Code	GII
Northern	83	Algeria	DZ	85
Central	149	Angola	AO	
Western	166	Benin	BJ	142
Southern	106	Botswana	BW	106
Western	183	Burkina Faso	BF	144
Eastern	184	Burundi	BI	109
Central	153	Cameroon	CM	132
Western	122	Cape Verde	CV	
Central	185	Chad	TD	153
Eastern	159	Comoros	KM	
Central	136	Congo (Rep. of)	CG	137
Western	172	Ivory Coast	CI	151
Eastern	168	Djibouti	DJ	
Central	176	Democratic Republic of Congo	CD	149
Northern	108	Egypt	EG	131
Central	138	Equatorial Guinea	GQ	
Eastern	186	Eritrea	ER	
Eastern	174	Ethiopia	ET	129
Central	110	Gabon	GA	113
Western	175	Gambia	GM	143
Western	140	Ghana	GH	127
Western	182	Guinea	GN	
Western	178	Guinea-Bissau	GW	
Eastern	145	Kenya	KE	126
Southern	161	Lesotho	LS	124
Western	177	Liberia	LR	146
Northern	94	Libya	LY	27
Eastern	154	Madagascar	MG	
Eastern	173	Malawi	MW	140
Western	179	Mali	ML	150
Western	156	Mauritania	MR	139
Eastern	63	Mauritius	MU	88
Northern	126	Morocco	MA	117
Eastern	180	Mozambique	MZ	135
Southern	126	Namibia	NA	81
Western	188	Niger	NE	154
Western	152	Nigeria	NG	
Eastern	163	Rwanda	RW	80
Central	143	Sao Tome & Principe	ST	
Western	170	Senegal	SN	118
Eastern	64	Seychelles	SC	
Western		Sierra Leone	SL	145
Eastern		Somalia	SO	
Southern	116	South Africa	ZA	83
Eastern	169	South Sudan	SS	
Eastern	167	Sudan	SD	135
Southern	150	Swaziland	SZ	128
Eastern	151	Tanzania	TZ	125
Western	162	Togo	TG	134
Northern	96	Tunisia	TN	48
Eastern	163	Uganda	UG	122
Eastern	139	Zambia	ZM	132
Eastern	155	Zimbabwe	ZW	112
