region	HDI	Country	Code
northern	93	Algeria	DZ	27.91677	2.8125
central	149	Angola	AO	-12.89749	18.10547
west	165	Benin	BJ	10.33653	2.41699
southern	109	Botswana	BW	-22.67485	24.16993
west	181	Burkina Faso	BF	12.21118	-1.40625
east	180	Burundi	BI	-3.46956	29.94873
central	152	Cameroon	CM	5, 12.74414
west	123	Cape Verde	CV	16.29905	-23.99414
central	184	Chad	TD	15.28419	19.07227
east	159	Comoros	KM
central	140	Congo	CG	-0.52734	15.99609
west	171	Ivory Coast	CI	7.66744, -5.36133
east	170	Djibouti	DJ	11.56614	42.75879
central	186	DRC	CD	-1.05463	23.37891
northern	110	Egypt	EG	26.43123	29.88281
central	144	Equatorial Guinea	GQ	1.49397	11.07422
east	182	Eritrea	ER	15.74996	38.58398
east	173	Ethiopia	ET	8.66792 39.81445
central	112	Gabon	GA	-0.83493	11.7334
west	172	Gambia	GM	13.43237	15.94116
west	138	Ghana	GH	6.83917	-1.25244
west	179	Guinea	GN	10.83331	-10.89844
west	177	Guinea-Bissau	GW	11.80283, -15.0293
east	147	Kenya	KE	0.35156	38.10059
southern	162	Lesotho	LS	-29.68805	28.56445
west	175	Liberia	LR	6.38081	-9.31641
northern	55	Libya	LY	27.37177	18.19336
east	155	Madagascar	MG	-19.64259	46.8457
east	174	Malawi	MW	-13.28272	34.05762
west	176	Mali	ML	18.06231	-1.31836
west	161	Mauritania	MR	19.72533	-10.19531
east	63	Mauritius	MU	-20.29311	57.60132
northern	129	Morocco	MA	31.87756	-5.97656
east	178	Mozambique	MZ -18.18761	34.58496
southern	127	Namibia	NA -21.28937	17.31445
west	187	Niger	NE	17.64402	9.49219
west	152	Nigeria	NG	9.62241	7.99805
east	151	Rwanda	RW	1.97716	29.92676
central	142	Sao Tome and Principe	ST	0.30762	6.81152
west	163	Senegal	SN	15.05091, -14.91943
east	71	Seychelles	SC
west	183	Sierra Leone	SL	8.53757	-11.82129
east	NA	Somalia	SO	5.52851	47.19727
southern	118	South Africa	ZA	-29.07538	24.3457
east	NA	South Sudan	SS	7.36247	30.05859
east	166	Sudan	SD	13.88075	29.9707
southern	148	Swaziland	SZ	-26.58853	31.55273
east	159	Tanzania	TZ	-6.48998	34.89258
west	166	Togo	TG	8.73308	1.05469
northern	90	Tunisia	TN	34.23451	9.84375
east	164	Uganda	UG	1.01069	32.65137
east	141	Zambia	ZM	-14.17919	27.24609
east	156	Zimbabwe	ZW	-19.14517	30.05859
central African Republic	6.22793	20.74219
