year	code	participationOwnership	topManager	majorityFemaleOwnership	permanentFullTime	fullTimeProductionWorkers	fullTimeNonProduction
2010	AO	56.6	13.5	9.3	51	49.5	58.5
2007	DZ	15	NA	NA	20.8	19.5	27.8
2009	BJ	45.4	26.9	20.2	29.7	NA	NA
2010	BW	55.3	16.4	8.9	41.2	29.9	53.9
2009	BF	19.2	11.3	8.1	21.6	12.1	23.4
2014	BI	44	16.3	9.3	24.6	8.9	45.7
2009	CV	33.1	16.7	14.8	49.8	NA	NA
2009	CM	15.7	10	10.1	27.8	11.3	32.9
2011	CF	53.3	12.2	6.4	25.9	NA	NA
2009	TD	40.1	6.8	0.7	11.4	NA	NA
2013	CD	15.1	10.8	8	18.5	11.7	19.9
2009	CG	31.8	17.2	4	24.8	NA	NA
2009	CI	61.9	NA	20.2	30	16.7	22.9
2013	EG	16.1	7.1	3.9	11.8	10	11.2
2009	ER	4.2	7.7	3.1	40.4	NA	NA
2011	ET	35.3	13.6	7.2	33.9	32.6	40.1
2009	GA	33.1	11.5	9.4	24.3	NA	NA
2006	GM	21.3	NA	NA	16.2	15.2	31.9
2013	GH	31.6	14.9	14.7	24.7	18	32.8
2006	GN	25.4	NA	NA	20.8	20.8	18.8
2006	GW	19.9	NA	NA	5.1	3.9	13.6
2013	KE	48.7	13.4	8.6	29.1	20.5	29.5
2009	LS	18.4	21.6	15.6	38.4	NA	NA
2009	LR	53	29.9	12.9	22.9	NA	NA
2013	MA	31.3	4.3	3.5	25.7	29.7	33.5
2013	MG	41.6	28.2	20.7	31.9	35	35
2014	MW	28.1	14.2	11.4	27.4	8.8	23.7
2010	ML	58.3	21	14.6	29.7	30.9	30
2014	MR	15	4.5	2.2	12.9	3.8	14.2
2009	MU	16.9	NA	4.9	30	26.5	30.8
2007	MZ	24.4	NA	NA	13.5	10.5	30.7
2014	NA	41	27.4	25.6	33.8	25.7	56
2009	NE	17.6	11.3	5.8	13.4	NA	NA
2014	NG	16.2	13.9	13.2	24.3	24.2	19.3
2011	RW	42.7	19.7	12.9	32.4	NA	NA
2014	SN	22.9	14.1	11.8	20.7	9.3	25.3
2009	SL	7.9	7.1	1.7	17.4	NA	NA
2007	ZA	22.6	NA	NA	29.1	26.6	41.9
2014	SD	8.2	3.4	2.3	13.6	8.8	11.6
2006	SZ	28.6	NA	NA	42.5	42.6	42.6
2013	TN	49.5	8.5	2.6	30.4	28.7	34.1
2013	TZ	24.7	13.9	9.9	44	19.1	38.2
2009	TG	31.8	15.1	8.2	25	NA	NA
2013	UG	26.6	15.3	10.2	40.1	20.9	40
2013	ZM	49.8	23.8	19	38.1	16.9	23.3
2011	ZW	56.2	17.4	NA	23.4	11.6	35.7
