	..	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
2007	AO	36.6	..	..	..	..	..	..	36.6	..	..	..	..	
2010	BJ	36.2	..	..	..	..	37.2	33.3	..	..	35.2	36.2	..	
	Bermuda	..	..	..	..	..	..	..	..	..	..	..	..	
	Bhutan	..	..	..	..	..	..	23.2	..	..	..	..	12	
	Bolivia	63.1	63.3	..	63.1	60.6	59.9	60.1	57.3	51.3	..	45	..	
	Bosnia and Herzegovina	..	..	..	..	..	..	18.2	..	..	..	17.9	..	
2008	BW	19.3	..	30.6	..	..	..	..	..	19.3	..	..	..	
	Brazil	24.7	23.3	24.9	22.4	21	17.3	16.1	14.1	13.3	..	11.1	9	
	Brunei Darussalam	..	..	..	..	..	..	..	..	..	..	..	..	
	Bulgaria	..	..	..	..	18.4	22	21.4	21.8	20.7	22.2	21.2	21	
2008	BF	46.7	..	51.1	..	..	..	..	..	46.7	..	..	..	
2005	BI	66.9	..	..	..	..	66.9	..	..	..	..	..	..	
	Cambodia	..	..	..	50.2	..	..	45	34	23.9	22.1	20.5	17.7	
2006	CM	39.9	..	..	..	..	..	39.9	..	..	..	..	..	
	Canada	..	..	..	..	..	..	..	..	..	..	..	..	
2006	CV	26.6	..	..	..	..	..	26.6	..	..	..	..	..	
	Cayman Islands	..	..	..	..	..	..	..	..	..	..	..	..	
2007	CR	62	..	..	..	..	..	..	62	..	..	..	..	
2010	TD	46.7	54.8	..	..	..	..	..	..	..	..	46.7	..	
	Channel Islands	..	..	..	..	..	..	..	..	..	..	..	..	
	Chile	..	..	..	..	..	29.1	..	..	25.3	..	22.2	..	
	China	..	..	..	..	..	..	..	..	..	..	..	..	
	Colombia	..	49.7	48	47.4	45	..	..	42	40.3	37.2	34.1	32.7	
	Comoros	..	..	..	44.8	..	..	..	..	..	..	..	..	
2011	CD	63.6	..	..	..	..	..	..	..	..	..	..	63.6	
2010	CG	46.5	..	..	..	50.7	..	..	..	..	..	46.5	..	
	Costa Rica	..	..	..	..	..	..	..	..	..	21.3	21.6	20.6	
2007	CI	42.7	40.2	..	..	..	..	..	42.7	..	..	..	..	
	Croatia	..	..	..	..	..	..	..	..	20.5	21.3	20.5	19.5	
	Cuba	..	..	..	..	..	..	..	..	..	..	..	..	
	Curacao	..	..	..	..	..	..	..	..	..	..	..	..	
	Cyprus	..	..	..	..	..	..	..	..	..	..	..	..	
	Czech Republic	..	..	..	10.4	9.9	9.6	9	8.6	9	9.8	9.6	8.6	
	Denmark	..	..	..	..	..	..	..	..	..	..	..	..	
	Djibouti	..	..	..	..	..	..	..	..	..	..	..	..	
	Dominica	..	..	..	..	..	..	..	..	..	..	..	..	
	Dominican Republic	32.8	32.7	41.5	49.8	47.8	44.2	43.6	44.2	42.1	41.6	40.4	40.9	
	Ecuador	54.9	..	49.9	44.6	42.2	37.6	36.7	35.1	36	32.8	28.6	27.3	
2010	EG	25.2	..	..	19.6	..	..	..	..	21.6	..	25.2	..	
	El Salvador	..	..	..	..	35.2	30.7	34.6	40	37.8	36.5	40.6	34.5	
2005	GQ	76.8	..	..	..	..	76.8	..	..	..	..	..	..	
	Eritrea	..	..	..	..	..	..	..	..	..	..	..	..	
	Estonia	..	..	20.2	18.3	18.3	19.4	19.5	19.7	15.8	17.5	17.5	18.6	
2009	ET	29.6	..	..	38.9	..	..	..	..	..	29.6	..	..	
	Faeroe Islands	..	..	..	..	..	..	..	..	..	..	..	..	
	Fiji	..	39.8	..	..	..	..	..	35.2	..	..	..	..	
	Finland	..	..	..	..	..	..	..	..	..	..	..	..	
	France	..	..	..	..	..	..	..	..	..	..	..	..	
	French Polynesia	..	..	..	..	..	..	..	..	..	..	..	..	
2004	GA	32.7	..	..	..	32.7	..	..	..	..	..	..	..	
2009	GM	48.4	..	..	..	..	..	..	..	..	48.4	..	..	
	Georgia	..	..	..	..	..	..	20.1	17.7	17.4	20.9	17.7	14.8	
	Germany	..	..	..	..	..	..	..	..	..	..	..	..	
2011	GH	24.2	..	..	..	31.9	..	..	..	..	..	..	24.2	
	Greece	..	..	..	..	..	..	..	..	..	..	..	..	
	Greenland	..	..	..	..	..	..	..	..	..	..	..	..	
	Grenada	..	..	..	..	..	..	..	..	..	..	..	..	
	Guam	..	..	..	..	..	..	..	..	..	..	..	..	
	Guatemala	..	..	..	..	..	51	..	..	..	..	53.7	..	
2011	GN	55.2	49.1	..	..	..	..	53	..	..	..	..	55.2	
2009	GW	69.3	64.7	..	..	..	..	..	..	..	69.3	..	..	
	Guyana	..	..	..	..	..	..	..	..	..	..	..	..	
	Haiti	..	..	..	..	..	..	..	..	..	..	..	58.5	
	Honduras	63.7	64.8	65.3	64.6	63.7	59.9	58.2	59.2	58.8	60	61.9	66.5	
	"Hong Kong SAR, China"	..	..	..	..	..	..	..	..	..	..	..	..	
	Hungary	..	..	..	13.5	15.9	12.3	12.4	12.4	12.3	13.8	14	14.3	
	Iceland	..	..	..	..	..	..	..	..	..	..	..	..	
	India	..	..	..	37.2	..	..	..	..	29.8	..	21.9	..	
	Indonesia	..	18.2	17.4	16.7	16	17.8	16.6	15.4	14.2	13.3	12.5	12	
	"Iran, Islamic Rep."	..	..	..	..	..	..	..	..	..	..	..	..	
	Iraq	..	..	..	..	..	..	22.4	..	..	..	..	18.9	
	Ireland	..	..	..	..	..	..	..	..	..	..	..	..	
	Isle of Man	..	..	..	..	..	..	..	..	..	..	..	..	
	Israel	..	..	..	..	..	..	..	..	..	..	..	..	
	Italy	..	..	..	..	..	..	..	..	..	..	..	..	
	Jamaica	16.9	19.7	19.1	16.9	14.8	14.3	9.9	12.3	16.5	17.6	..	19.9	
	Japan	..	..	..	..	..	..	..	..	..	..	..	..	
	Jordan	..	..	..	..	..	..	..	..	..	14.4	..	..	
	Kazakhstan	46.7	44.5	37.5	33.9	31.6	18.2	12.7	12.1	8.2	6.5	5.5	3.8	
2004	KE	45.9	..	..	..	45.9	..	..	..	..	..	..	..	
	Kiribati	..	..	..	..	..	..	..	..	..	..	..	..	
	"Korea, Dem. Rep."	..	..	..	..	..	..	..	..	..	..	..	..	
	"Korea, Rep."	..	..	..	..	..	..	..	..	..	..	..	..	
	Kosovo	..	..	37.7	43.7	34.8	45.1	..	..	34.5	29.2	29.7	..	
	Kuwait	..	..	..	..	..	..	..	..	..	..	..	..	
	Kyrgyz Republic	..	..	..	..	..	39.9	35	31.7	31.7	33.7	36.8	38	
	Lao PDR	..	33.5	..	..	..	..	27.6	..	..	..	..	23.2	
	Latvia	..	..	..	19.4	23.5	21.2	25.9	26.4	20.9	19	19.2	19.4	
	Lebanon	..	..	..	28.6	..	..	..	..	..	..	..	..	
2009	LS	57.1	56.6	..	..	..	..	..	..	..	57.1	..	..	
2006	LR	63.8	..	..	..	..	..	63.8	..	..	..	..	..	
		..	..	..	..	..	..	..	..	..	..	..	..	
	Liechtenstein	..	..	..	..	..	..	..	..	..	..	..	..	
	Lithuania	..	..	..	20.5	20	19.1	20	20.3	20.5	19.2	18.6	20.6	
	Luxembourg	..	..	..	..	..	..	..	..	..	..	..	..	
	"Macao SAR, China"	..	..	..	..	..	..	..	..	..	..	..	..	
	"Macedonia, FYR"	..	..	..	..	..	..	..	..	27.3	27.1	..	..	
2009	MG	75.3	..	..	..	75	..	..	..	..	75.3	..	..	
2009	MW	50.7	..	..	52.4	..	..	..	..	..	50.7	..	..	
	Malaysia	..	6	..	5.7	..	..	3.6	..	3.8	..	..	1.7	
	Maldives	..	..	..	..	..	..	..	..	..	..	..	..	
2009	ML	43.6	..	..	..	..	47.5	..	..	..	43.6	..	..	
	Malta	..	..	..	..	..	..	..	..	..	..	..	..	
	Marshall Islands	..	..	..	..	..	..	..	..	..	..	..	..	
2007	MR	42	..	..	46.7	..	..	..	42	..	..	..	..	
	MU	..	..	..	..	..	..	..	..	..	..	..	..	
	Mexico	..	50	..	47.2	47	42.9	..	47.8	..	51.1	..	52.3	
	"Micronesia, Fed. Sts."	..	..	..	..	..	..	..	..	..	..	..	..	
	Moldova	..	..	29	26.5	29	30.2	25.8	26.4	26.3	21.9	17.5	16.6	
	Monaco	..	..	..	..	..	..	..	..	..	..	..	..	
	Mongolia	..	..	..	..	..	..	..	..	..	38.7	33.7	27.4	
	Montenegro	..	..	..	..	11.2	11.3	8	4.9	6.8	6.6	9.3	11.3	
2006	MA	8.9	..	..	..	..	..	8.9	..	..	..	..	..	
2008	MZ	54.7	54.1	..	..	..	..	..	..	54.7	..	..	..	
	Myanmar	..	..	..	..	..	..	..	..	..	..	..	..	
2008	NA	28.7	..	..	37.7	..	..	..	..	28.7	..	..	..	
	Nepal	..	..	..	..	..	..	..	..	..	25.2	..	..	
	Netherlands	..	..	..	..	..	..	..	..	..	..	..	..	
	New Caledonia	..	..	..	..	..	..	..	..	..	..	..	..	
	New Zealand	..	..	..	..	..	..	..	..	..	..	..	..	
	Nicaragua	..	..	..	..	48.3	..	..	..	42.5	..	..	..	
2010	NE	48.9	..	..	..	..	..	..	..	..	..	48.9	..	
2009	NG	46	..	..	48.4	..	..	..	..	..	46	..	..	
	Northern Mariana Islands	..	..	..	..	..	..	..	..	..	..	..	..	
	Norway	..	..	..	..	..	..	..	..	..	..	..	..	
	Oman	..	..	..	..	..	..	..	..	..	..	..	..	
	Pakistan	34.5	..	..	23.9	22.3	..	..	..	..	..	..	..	
	Palau	..	..	..	..	..	..	..	..	..	..	..	..	
	Panama	..	..	..	..	..	38.3	36.5	33.8	33.4	29.8	27.6	26.5	
	Papua New Guinea	..	..	..	..	..	..	..	..	39.9	..	..	..	
	Paraguay	..	..	44	41.3	38.6	43.7	41.2	37.9	35.1	34.7	32.4	26.9	
	Peru	54.8	54.3	52.3	58.7	55.6	49.2	42.4	37.3	33.5	30.8	27.8	25.8	
	Philippines	..	..	24.9	..	..	26.6	..	..	26.3	..	..	25.2	
