Region	Code	Ratio	Fwages	Mwages
Northern	DZ	93	3695	21219
Central	AO	149	5080	7587
Western	BJ	165	1455	1999
Southern	BW	109	11491	18054
Western	BF	181	1335	1871
Eastern	BI	180	685	815
Central	CM	152	2062	3052
Western	CV	123	4266	8480
Central	TD	184	1289	1953
Eastern	KM	159	798	2201
Central	CG	140	4222	5597
Western	CI	171	1866	3648
Eastern	DJ	170	1907	4300
Central	CD	186	390	499
Northern	EG	110	4225	16522
Central	GQ	144	17769	25977
Eastern	ER	182	986	1309
Eastern	ET	173	1090	1515
Central	GA	112	14003	19919
Western	GM	172	1309	1811
Western	GH	138	2937	4138
Western	GN	179	913	1370
Western	GW	177	907	1275
Eastern	KE	147	1763	2554
Southern	LS	162	2217	3395
Western	LR	175	634	868
Northern	LY	55	10649	32678
Eastern	MG	155	1102	1566
Eastern	MW	174	652	777
Western	ML	176	914	2076
Western	MR	161	1362	4592
Eastern	MU	63	10980	22726
Northern	MA	129	3215	10692
Eastern	MZ	178	939	1086
Southern	NA	127	7288	11196
Western	NE	187	471	1268
Western	NG	152	4068	6594
Eastern	RW	151	1263	1550
Central	ST	142	2001	4248
Western	SN	163	1642	2717
Eastern	SC	71		
Western	SL	183	1617	2016
Eastern	SO	NA		
Southern	ZA	118	8539	15233
Eastern	SS	NA		
Eastern	SD	166	1692	5153
Southern	SZ	148	3738	7384
Eastern	TZ	159	1501	1903
Western	TG	166	998	1263
Northern	TN	90	4751	16226
Eastern	UG	164	1167	1502
Eastern	ZM	141	2344	3455
Eastern	ZW	156	1124	1496
