Series Name,Series Code,Country Name,Country Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Afghanistan,AFG,..,..,..,..,..,4.771651,..,..,6.068505,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Albania,ALB,..,..,..,..,..,10.27337,..,..,7.9793,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Algeria,DZA,..,..,..,..,..,5.691488,..,..,21.84585,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Andorra,ADO,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Angola,AGO,..,..,..,..,..,18.60929,..,..,20.09244,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Arab World,ARB,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Argentina,ARG,..,..,..,..,..,4.006829,..,..,5.14903,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Armenia,ARM,..,..,..,..,..,0.4962251,..,..,1.585016,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Australia,AUS,..,..,..,..,..,65.24073,..,..,63.66363,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Austria,AUT,..,..,..,..,..,52.99369,..,..,54.94675,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Azerbaijan,AZE,..,..,..,..,..,1.921226,..,..,7.351283,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Bahrain,BHR,..,..,..,..,..,20.92613,..,..,39.90639,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Bangladesh,BGD,..,..,..,..,..,18.09233,..,..,8.321638,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Barbados,BRB,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Belarus,BLR,..,..,..,..,..,6.85426,..,..,15.76261,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Belgium,BEL,..,..,..,..,..,47.20252,..,..,59.55333,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Belize,BLZ,..,..,..,..,..,..,..,..,19.21563,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Benin,BEN,..,..,..,..,..,7.808246,..,..,9.08712,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Bhutan,BTN,..,..,..,..,..,..,..,..,23.52503,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Bolivia,BOL,..,..,..,..,..,17.74631,..,..,26.52453,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Bosnia and Herzegovina,BIH,..,..,..,..,..,7.240834,..,..,11.89785,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Botswana,BWA,..,..,..,..,..,17.31535,..,..,28.58655,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Brazil,BRA,..,..,..,..,..,12.97405,..,..,14.91335,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Bulgaria,BGR,..,..,..,..,..,4.867269,..,..,16.20354,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Burkina Faso,BFA,..,..,..,..,..,9.659992,..,..,9.877899,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Burundi,BDI,..,..,..,..,..,3.713188,..,..,5.062552,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Cambodia,KHM,..,..,..,..,..,1.472155,..,..,4.837481,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Cameroon,CMR,..,..,..,..,..,12.74442,..,..,10.63912,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Canada,CAN,..,..,..,..,..,53.47576,..,..,65.96078,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Central African Republic,CAF,..,..,..,..,..,2.230524,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Chad,TCD,..,..,..,..,..,8.890958,..,..,5.62815,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Chile,CHL,..,..,..,..,..,14.50541,..,..,17.37619,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,China,CHN,..,..,..,..,..,32.08865,..,..,41.14826,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Colombia,COL,..,..,..,..,..,10.1552,..,..,16.42911,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Comoros,COM,..,..,..,..,..,10.56976,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,"Congo, Dem. Rep.",ZAR,..,..,..,..,..,2.29522,..,..,6.392308,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,"Congo, Rep.",COG,..,..,..,..,..,8.020917,..,..,11.22237,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Costa Rica,CRI,..,..,..,..,..,26.47327,..,..,26.93123,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,10.38673,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Croatia,HRV,..,..,..,..,..,10.59566,..,..,27.12872,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Cuba,CUB,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Curacao,CUW,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Cyprus,CYP,..,..,..,..,..,35.70027,..,..,22.51616,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Czech Republic,CZE,..,..,..,..,..,37.8058,..,..,39.22601,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Denmark,DNK,..,..,..,..,..,58.34853,..,..,66.43358,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Djibouti,DJI,..,..,..,..,..,4.125287,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Dominica,DMA,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Dominican Republic,DOM,..,..,..,..,..,16.67501,..,..,28.161,..
