Region	HDI ranks	CountryCode	Country	HDIF 2013	HDIM 2013	LEF2013	LEM2013	MYSF2002-2012	MYSM2000-2012	EYSF2000-2012	EYSM2000-2012	EGNIF2013	EGNIM2013
Central	149	AGO	Angola	0	0	53.4	50.4	0	0	8.7	14	5080	7587
Central	152	CMR	Cameroon	0.468	0.537	56.2	53.9	5.1	6.7	9.5	11.2	2062	3052
Central	184	TCD	Chad	0.319	0.419	52.1	50.3	0.6	2.3	5.9	8.9	1289	1953
Central	140	COG	Republic of the Congo	0.543	0.585	60.2	57.4	5.5	6.7	10.9	11.3	4222	5597
Central	186	COD	Democratic Republic of the Congo	0.304	0.369	51.8	48.2	2.1	4.1	8.4	10.9	390	499
Central	144	GNQ	Equatorial Guinea	0	0	54.6	51.7	0	0	6.9	10	17769	25977
Central	112	GAB	Gabon	0	0	64.5	62.4	8.4	6.4	0	0	14003	19919
Central	142	STP	Sao Tome and Principe	0.524	0.586	68.3	64.3	4	5.5	11.4	11.2	2001	4248
Eastern	180	BDI	Burundi	0.37	0.41	56.1	52.2	2.2	3.3	9.6	10.7	685	815
Eastern	159	COM	Comoros	0	0	62.3	59.5	0	0	12.3	13.2	798	2201
Eastern	170	DJI	Djibouti	0	0	63.4	60.2	0	0	5.9	6.9	1907	4300
Eastern	182	ERI	Eritrea	0	0	65.2	60.5	0	0	3.7	4.6	986	1309
Eastern	173	ETH	Ethiopia	0.401	0.47	65.3	62	1.4	3.6	8	9	1090	1515
Eastern	147	KEN	Kenya	0.508	0.56	63.6	59.8	5.4	7.1	10.7	11.3	1763	2554
Eastern	155	MDG	Madagascar	0.476	0.519	66.2	63.2	4.8	5.6	10.2	10.5	1102	1566
Eastern	174	MWI	Malawi	0.389	0.437	55.4	55.1	3.4	5.1	10.8	10.7	652	777
Eastern	63	MUS	Mauritius	0.75	0.784	77.1	70.3	8	9.1	15.9	15.2	10980	22726
Eastern	178	MOZ	Mozambique	0.343	0.391	51	49.3	0.8	1.7	8.9	10.1	939	1086
Eastern	151	RWA	Rwanda	0.463	0.487	65.7	62.4	3.1	3.6	10.3	10.2	1263	1550
Eastern	71	SYC	Seychelles	0	0	78.1	69	9.4	9.4	12.1	11.1	0	0
Eastern	NA	SOM	Somalia	0	0	56.7	53.4	0	0	0	0	0	0
Eastern	NA	SSD	South Sudan	0	0	56.3	54.2	0	0	0	0	0	0
Eastern	166	SDN	Sudan	0	0	63.9	60.3	2.5	3.8	0	0	1692	5153
Eastern	159	TZA	United Republic of Tanzania	0.466	0.509	62.9	60.2	4.5	5.8	9	9.3	1501	1903
Eastern	164	UGA	Uganda	0.456	0.509	60.4	58	4.3	6.4	10.6	10.9	1167	1502
Eastern	141	ZMB	Zambia	0.534	0.585	60	56.3	5.8	7.2	13	13.9	2344	3455
Eastern	156	ZWE	Zimbabwe	0.468	0.515	60.8	58.8	6.7	7.8	9.1	9.5	1124	1496
Northern	93	DZA	Algeria	0.629	0.746	72.7	69.4	5.9	7.8	14.2	13.8	3695	21219
Northern	110	EGY	Egypt	0.617	0.722	73.6	68.8	5.3	7.5	12.7	13.3	4225	16522
Northern	55	LBY	Libya	0.749	0.805	77.3	73.5	7.5	7.5	16.4	15.9	10649	32678
Northern	129	MAR	Morocco	0.545	0.658	72.7	69.1	3.2	5.6	10.6	11.6	3215	10692
Northern	90	TUN	Tunisia	0.669	0.751	78.3	73.6	5.5	7.5	15	14	4751	16226
Southern	109	BWA	Botswana	0.669	0.694	66.8	62.1	8.7	9	11.7	11.6	11491	18054
Southern	162	LSO	Lesotho	0.474	0.488	49.5	49.2	6.8	4.6	11.6	10.6	2217	3395
Southern	127	NAM	Namibia	0.616	0.631	67.1	61.7	6.3	6.1	11.4	11.3	7288	11196
Southern	118	ZAF	South Africa	0	0	58.8	54.7	9.8	10.1	0	0	8539	15233
Southern	148	SWZ	Swaziland	0.493	0.562	48.3	49.6	7.4	6.8	10.9	11.8	3738	7384
Western	165	BEN	Benin	0.428	0.52	60.7	57.9	2	4.4	9.4	12.7	1455	1999
Western	181	BFA	Burkina Faso	0.376	0.407	56.9	55.7	1.9	1.1	7	8	1335	1871
Western	123	CPV	Cape Verde	0	0	78.8	71.1	0	0	13.6	12.9	4266	8480
Western	171	CIV	Côte d'Ivoire	0	0	51.6	50	3.1	5.4	0	0	1866	3648
Western	172	GMB	Gambia	0	0	60.2	57.5	2	3.6	0	0	1309	1811
Western	138	GHA	Ghana	0.537	0.607	62.1	60.2	5.9	8.1	10.9	12.1	2937	4138
Western	179	GIN	Guinea	0.344	0.439	56.9	55.3	0.8	2.6	7.4	10.1	913	1370
Western	177	GNB	Guinea-Bissau	0	0	55.8	52.8	1.4	3.4	0	0	907	1275
Western	175	LBR	Liberia	0.379	0.482	61.5	59.6	2.3	5.6	8.9	12.4	634	868
Western	176	MLI	Mali	0.35	0.455	54.9	55.1	1.4	2.6	7.6	9.6	914	2076
Western	161	MRT	Mauritania	0.425	0.53	63.1	60	2.6	4.9	8.1	8.3	1362	4592
Western	187	NER	Niger	0.275	0.385	58.6	58.3	0.8	2.1	4.8	6.1	471	1268
Western	152	NGA	Nigeria	0.458	0.546	52.8	52.2	4.2	6.3	8.2	9.8	4068	6594
Western	163	SEN	Senegal	0.449	0.52	64.9	61.9	3.4	5.6	7.8	8.1	1642	2717
Western	183	SLE	Sierra Leone	0.329	0.412	45.8	45.3	2	3.8	6.1	8.4	1617	2016
Western	166	TGO	Togo	0.401	0.499	57.4	55.6	3.3	6.7	8.5	11.9	998	1263
