Region	Country	MYSF2002-2012	MYSM2000-2012	EGNIF2013	EGNIM2013
central	Cameroon	5.1	6.7	2062	3052
central	Chad	0.6	2.3	1289	1953
central	Republic of the Congo	5.5	6.7	4222	5597
central	Democratic Republic of the Congo	2.1	4.1	390	499
central	Gabon	8.4	6.4	14003	19919
central	Sao Tome and Principe	4.0	5.5	2001	4248
east	Burundi	2.2	3.3	685	815
east	Ethiopia	1.4	3.6	1090	1515
east	Kenya	5.4	7.1	1763	2554
east	Madagascar	4.8	5.6	1102	1566
east	Malawi	3.4	5.1	652	777
east	Mauritius	8.0	9.1	10980	22726
east	Mozambique	0.8	1.7	939	1086
east	Rwanda	3.1	3.6	1263	1550
east	Sudan	2.5	3.8	1692	5153
east	Tanzania (United Republic of)	4.5	5.8	1501	1903
east	Uganda	4.3	6.4	1167	1502
east	Zambia	5.8	7.2	2344	3455
east	Zimbabwe	6.7	7.8	1124	1496
northern	Algeria	5.9	7.8	3695	21219
northern	Egypt	5.3	7.5	4225	16522
northern	Libya	7.5	7.5	10649	32678
northern	Morocco	3.2	5.6	3215	10692
northern	Tunisia	5.5	7.5	4751	16226
southern	Botswana	8.7	9.0	11491	18054
southern	Lesotho	6.8	4.6	2217	3395
southern	Namibia	6.3	6.1	7288	11196
southern	South Africa	9.8	10.1	8539	15233
southern	Swaziland	7.4	6.8	3738	7384
west	Benin	2.0	4.4	1455	1999
west	Burkina Faso	1.9	1.1	1335	1871
west	Côte d'Ivoire	3.1	5.4	1866	3648
west	Gambia	2.0	3.6	1309	1811
west	Ghana	5.9	8.1	2937	4138
west	Guinea	0.8	2.6	913	1370
west	Guinea-Bissau	1.4	3.4	907	1275
west	Liberia	2.3	5.6	634	868
west	Mali	1.4	2.6	914	2076
west	Mauritania	2.6	4.9	1362	4592
west	Niger	0.8	2.1	471	1268
west	Nigeria	4.2	6.3	4068	6594
west	Senegal	3.4	5.6	1642	2717
west	Sierra Leone	2.0	3.8	1617	2016
west	Togo	3.3	6.7	998	1263
