Country	MYSF2002-2012	MYSM2000-2012
Cameroon	5.1	6.7
Chad	0.6	2.3
Congo	5.5	6.7
DRC	2.1	4.1
Gabon	8.4	6.4
Sao Tome and Principe	4.0	5.5
Burundi	2.2	3.3
Ethiopia	1.4	3.6
Kenya	5.4	7.1
Madagascar	4.8	5.6
Malawi	3.4	5.1
Mauritius	8.0	9.1
Mozambique	0.8	1.7
Rwanda	3.1	3.6
Seychelles	9.4	9.4
Sudan	2.5	3.8
Tanzania (United Republic of)	4.5	5.8
Uganda	4.3	6.4
Zambia	5.8	7.2
Zimbabwe	6.7	7.8
Algeria	5.9	7.8
Egypt	5.3	7.5
Libya	7.5	7.5
Morocco	3.2	5.6
Tunisia	5.5	7.5
Botswana	8.7	9.0
Lesotho	6.8	4.6
Namibia	6.3	6.1
South Africa	9.8	10.1
Swaziland	7.4	6.8
Benin	2.0	4.4
Burkina Faso	1.9	1.1
Côte d'Ivoire	3.1	5.4
Gambia	2.0	3.6
Ghana	5.9	8.1
Guinea	0.8	2.6
Guinea-Bissau	1.4	3.4
Liberia	2.3	5.6
Mali	1.4	2.6
Mauritania	2.6	4.9
Niger	0.8	2.1
Nigeria	4.2	6.3
Senegal	3.4	5.6
Sierra Leone	2.0	3.8
Togo	3.3	6.7
