countryName,percentMarriedBy15_2005-2013,percentMarriedBy18_2005-2013,childMarriageDataYear,childMarriageDataSource,hdiFemale2013,lifeExpectancyFemale2013,lifeExpectancyMale2013,meanYearsSchoolFemale02_12,meanYearsSchoolMale00_12,expectedYearsSchoolFemale00_12,expectedYearsSchoolMale00_12,gniFemale2013,gniMale2013
Benin,11,32,2011-2012,DHS,0.428,60.7,57.9,2,4.4,9.4,12.7,"1,455","1,999"
Burkina Faso,10,52,2010,DHS,0.376,56.9,55.7,1.9,1.1,7,8,"1,335","1,871"
Burundi,3,20,2010,DHS,0.37,56.1,52.2,2.2,3.3,9.6,10.7,685,815
Cabo Verde,3,18,2005,DHS,..,78.8,71.1,..,..,13.6,12.9,"4,266","8,480"
Cameroon,13,38,2011,DHS,0.468,56.2,53.9,5.1,6.7,9.5,11.2,"2,062","3,052"
Comoros,10,32,2012,DHS,..,62.3,59.5,..,..,12.3,13.2,798,"2,201"
Congo,6,33,2011-2012,DHS,0.543,60.2,57.4,5.5,6.7,10.9,11.3,"4,222","5,597"
CÌ«te d'Ivoire,10,33,2011-2012,DHS,..,51.6,50,3.1,5.4,..,..,"1,866","3,648"
Equatorial Guinea,9,30,2011,DHS,..,54.6,51.7,..,..,6.9,10,"17,769","25,977"
Eritrea,13,41,2010,Population and Health Survey,..,65.2,60.5,..,..,3.7,4.6,986,"1,309"
Ethiopia,16,41,2011,DHS,0.401,65.3,62,1.4,3.6,8,9,"1,090","1,515"
Gabon,6,22,2012,DHS,..,64.5,62.4,8.4,6.4,..,..,"14,003","19,919"
Ghana,5,21,2011,MICS,0.537,62.1,60.2,5.9,8.1,10.9,12.1,"2,937","4,138"
Guinea,21,52,2012,DHS,0.344,56.9,55.3,0.8,2.6,7.4,10.1,913,"1,370"
Kenya,6,26,2008-2009,DHS,0.508,63.6,59.8,5.4,7.1,10.7,11.3,"1,763","2,554"
Lesotho,2,19,2009,DHS,0.474,49.5,49.2,6.8,4.6,11.6,10.6,"2,217","3,395"
Liberia,11,38,2007,DHS,0.379,61.5,59.6,2.3,5.6,8.9,12.4,634,868
Madagascar,12,41,2012-2013,ENSOMD,0.476,66.2,63.2,4.8,5.6,10.2,10.5,"1,102","1,566"
Malawi,12,50,2010,DHS,0.389,55.4,55.1,3.4,5.1,10.8,10.7,652,777
Mozambique,14,48,2011,DHS,0.343,51,49.3,0.8,1.7,8.9,10.1,939,"1,086"
Namibia,2,9,2006-2007,DHS,0.616,67.1,61.7,6.3,6.1,11.4,11.3,"7,288","11,196"
Niger,28,76,2012,DHS,0.275,58.6,58.3,0.8,2.1,4.8,6.1,471,"1,268"
Nigeria,17,43,2013,DHS,0.458,52.8,52.2,4.2,6.3,8.2,9.8,"4,068","6,594"
Sao Tome and Principe,5,34,2008-2009,DHS,0.524,68.3,64.3,4,5.5,11.4,11.2,"2,001","4,248"
Senegal,12,33,2010-2011,DHS,0.449,64.9,61.9,3.4,5.6,7.8,8.1,"1,642","2,717"
Uganda,10,40,2011,DHS,0.456,60.4,58,4.3,6.4,10.6,10.9,"1,167","1,502"
Zambia,9,42,2007,DHS,0.534,60,56.3,5.8,7.2,13,13.9,"2,344","3,455"
Zimbabwe,4,31,2010-2011,DHS,0.468,60.8,58.8,6.7,7.8,9.1,9.5,"1,124","1,496"
