countryName,regionName,Is there a non-discrimination clause in the constitution?,"If there is a non-discrimination clause in the constitution, does it explicitly mention gender?",Does the constitution guarantee equality before the law?,Is customary law recognized as a valid source of law under the constitution?,"If customary law is a valid source of law, is it considered invalid if it violates constitutional provisions on non-discrimination or equality?",Is personal law recognized as a valid source of law under the constitution?,"If personal law is a valid source of law, is it considered invalid if it violates constitutional provisions on non-discrimination or equality?",What are the legal quotas for women on corporate boards?,What are the legal quotas for women in parliament?,What are the legal quotas for women in local government?,Can an unmarried woman apply for a passport in the same way as a man?,Can a married woman apply for a passport in the same way as a man?,Can an unmarried woman apply for a national ID card in the same way as a man?,Can a married woman apply for a national ID card in the same way as a man?,Can an unmarried woman travel outside the country in the same way as a man?,Can a married woman travel outside the country in the same way as a man?,Can an unmarried woman travel outside her home in the same way as a man?,Can a married woman travel outside her home in the same way as a man?,Can an unmarried woman get a job or pursue a trade or profession in the same way as a man?,Can a married woman get a job or pursue a trade or profession in the same way as a man?,Can an unmarried woman sign a contract in the same way as a man?,Can a married woman sign a contract in the same way as a man?,Can an unmarried woman register a business in the same way as a man?,Can a married woman register a business in the same way as a man?,Can an unmarried woman open a bank account in the same way as a man?,Can a married woman open a bank account in the same way as a man?,Can an unmarried woman choose where to live in the same way as a man?,Can a married woman choose where to live in the same way as a man?,Can an unmarried woman confer citizenship to her children in the same way as a man?,Can a married woman confer citizenship to her children in the same way as a man?,"Can an unmarried woman be ""head of household"" or ""head of family"" in the same way as a man?","Can a married woman be ""head of household"" or ""head of family"" in the same way as a man?",Can a married woman convey citizenship to her non-national spouse in the same way as a man?,Are married women required by law to obey their husbands?,Do married couples jointly share legal responsibility for financially maintaining the family's expenses?
Algeria,Middle East & North Africa,http://www.conseil-constitutionnel.dz/Constitution-fr-2008.pdf,http://www.conseil-constitutionnel.dz/Constitution-fr-2008.pdf,http://www.conseil-constitutionnel.dz/Constitution-fr-2008.pdf,http://www.conseil-constitutionnel.dz/Constitution-fr-2008.pdf,N/A,http://www.conseil-constitutionnel.dz/Constitution-fr-2008.pdf,http://www.conseil-constitutionnel.dz/Constitution-fr-2008.pdf,No applicable provisions could be located,No applicable provisions could be located,No applicable provisions could be located,http://passeport.interieur.gov.dz/Fr/Telechargement/formulaire.pdf,http://passeport.interieur.gov.dz/Fr/Telechargement/formulaire.pdf,http://passeport.interieur.gov.dz/Fr/Telechargement/formulaire.pdf,http://passeport.interieur.gov.dz/Fr/Telechargement/formulaire.pdf,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,http://www.joradp.dz/TRV/FCom.pdf,http://www.joradp.dz/TRV/FCom.pdf,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,http://www.joradp.dz/TRV/FNat.pdf,http://www.joradp.dz/TRV/FNat.pdf,No restrictions could be located,No restrictions could be located,http://www.joradp.dz/TRV/FNat.pdf,No applicable provisions could be located,http://www.joradp.dz/TRV/AFam.pdf
"Egypt, Arab Rep.",Middle East & North Africa,http://www.sis.gov.eg/Newvr/consttt%202014.pdf,http://www.sis.gov.eg/Newvr/consttt%202014.pdf,http://www.sis.gov.eg/Newvr/consttt%202014.pdf,http://www.sis.gov.eg/Newvr/consttt%202014.pdf,N/A,http://www.sis.gov.eg/Newvr/consttt%202014.pdf,http://www.sis.gov.eg/Newvr/consttt%202014.pdf,No applicable provisions could be located,http://www.cc.gov.eg/Images/Legislations/G/2014/06/46-2014__05-06-2014.pdf,http://www.sis.gov.eg/Newvr/Dustor-en001.pdf,http://www.egypt.gov.eg/Services/ServiceDetailsFiles.aspx?ID=4753,http://www.egypt.gov.eg/Services/ServiceDetailsFiles.aspx?ID=4753,http://www.egypt.gov.eg/Services/ServiceDetailsFiles.aspx?ID=4757,http://www.egypt.gov.eg/Services/ServiceDetailsFiles.aspx?ID=4757,No restrictions could be located,No restrictions could be located,No restrictions could be located,http://www.wluml.org/sites/wluml.org/files/%20%D9%82%D9%88%D8%A7%D9%86%D9%8A%D9%86%20%D8%A7%D9%84%D8%A3%D8%AD%D9%88%D8%A7%D9%84%20%D8%A7%D9%84%D8%B4%D8%AE%D8%B5%D9%8A%D8%A9%20%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A%D8%A9.doc,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,http://www.carim.org/public/legaltexts/EGYLaw_No._26_1975__Nationality_.pdf,http://www.carim.org/public/legaltexts/EGYLaw_No._26_1975__Nationality_.pdf,No applicable provisions could be located,No applicable provisions could be located,http://www.carim.org/public/legaltexts/EGYLaw_No._26_1975__Nationality_.pdf,http://www.wluml.org/sites/wluml.org/files/%20%D9%82%D9%88%D8%A7%D9%86%D9%8A%D9%86%20%D8%A7%D9%84%D8%A3%D8%AD%D9%88%D8%A7%D9%84%20%D8%A7%D9%84%D8%B4%D8%AE%D8%B5%D9%8A%D8%A9%20%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A%D8%A9.doc,http://www.wluml.org/sites/wluml.org/files/%20%D9%82%D9%88%D8%A7%D9%86%D9%8A%D9%86%20%D8%A7%D9%84%D8%A3%D8%AD%D9%88%D8%A7%D9%84%20%D8%A7%D9%84%D8%B4%D8%AE%D8%B5%D9%8A%D8%A9%20%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A%D8%A9.doc
Morocco,Middle East & North Africa,http://www.sgg.gov.ma/Portals/0/constitution/constitution_2011_Fr.pdf,N/A,http://www.sgg.gov.ma/Portals/0/constitution/constitution_2011_Fr.pdf,http://www.sgg.gov.ma/Portals/0/constitution/constitution_2011_Fr.pdf,N/A,http://www.sgg.gov.ma/Portals/0/constitution/constitution_2011_Fr.pdf,N/A,No restrictions could be located,http://www.parlement.ma/fe/images/textes_new/BO_5992_Fr_loi2711.pdf,http://adala.justice.gov.ma/production/html/Fr/liens/..%5C180069.htm,https://www.passeport.ma/PDF/passeport12/fran%C3%A7ais/Passeport_d%C3%A9cret.pdf,https://www.passeport.ma/PDF/passeport12/fran%C3%A7ais/Passeport_d%C3%A9cret.pdf,http://adala.justice.gov.ma/production/legislation/fr/civil/l%20etat%20civil.htm,http://adala.justice.gov.ma/production/legislation/fr/civil/l%20etat%20civil.htm,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,http://www.droit-afrique.com/images/textes/Maroc/Maroc%20-%20Code%20travail.pdf,http://www.droit-afrique.com/images/textes/Maroc/Maroc%20-%20Code%20travail.pdf,No restrictions could be located,http://www.sgg.gov.ma/Portals/0/lois/codecom_fr.pdf,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,http://adala.justice.gov.ma/production/legislation/fr/civil/nationalite.htm,http://adala.justice.gov.ma/production/legislation/fr/civil/nationalite.htm,No restrictions could be located,http://adala.justice.gov.ma/production/legislation/fr/civil/l%20etat%20civil.htm,http://adala.justice.gov.ma/production/legislation/fr/civil/nationalite.htm,No applicable provisions could be located,http://adala.justice.gov.ma/production/legislation/fr/civil/Code%20de%20la%20famille%20Maroc%20Texte.htm
Tunisia,Middle East & North Africa,http://www.assawra.info/constitutiontun.pdf,N/A,http://www.assawra.info/constitutiontun.pdf,http://www.assawra.info/constitutiontun.pdf,N/A,http://www.assawra.info/constitutiontun.pdf,N/A,No applicable provisions could be located,No applicable provisions could be located,No applicable provisions could be located,http://www.legislation.tn/sites/default/files/journal-officiel/1975/1975F/Jo03475.pdf,http://www.legislation.tn/sites/default/files/journal-officiel/1975/1975F/Jo03475.pdf,http://wrcati.cawtar.org/assets/documents/pdf/LoisCarteidentite22-03-1993.pdf,http://wrcati.cawtar.org/assets/documents/pdf/LoisCarteidentite22-03-1993.pdf,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,No restrictions could be located,http://www.legislation.tn/fr/affich-code-article/code-de-la-nationalit%C3%A9-tunisienne-article-6-%28modifi%C3%A9-par-la-loi-n%C2%B02010-55-du-1er-d%C3%A9cembre-2010%29%28%2A%29__10931,http://www.legislation.tn/fr/affich-code-article/code-de-la-nationalit%C3%A9-tunisienne-article-6-%28modifi%C3%A9-par-la-loi-n%C2%B02010-55-du-1er-d%C3%A9cembre-2010%29%28%2A%29__10931,No restrictions could be located,http://www.e-justice.tn/fileadmin/fichiers_site_francais/codes_juridiques/Statut_personel_Fr.pdf,http://www.legislation.tn/fr/affich-code-article/code-de-la-nationalit%C3%A9-tunisienne-article-13__10942,No applicable provisions could be located,http://www.e-justice.tn/fileadmin/fichiers_site_francais/codes_juridiques/Statut_personel_Fr.pdf
Angola,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Benin,Sub-Saharan Africa,No,N/A,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes
Botswana,Sub-Saharan Africa,Yes,Yes,No,Yes,No,No,N/A,N/A,N/A,N/A,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,No,Yes
Burkina Faso,Sub-Saharan Africa,Yes,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,N/A,N/A,Yes,No,Yes
Burundi,Sub-Saharan Africa,Yes,Yes,Yes,No,N/A,No,N/A,N/A,30%,30%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
Cameroon,Sub-Saharan Africa,No,N/A,Yes,No,N/A,No,N/A,N/A,N/A,N/A,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes
